idiom,num_contexts,contexts
a  veces ,326,"Por  lo  tanto ,  a  veces  los  datos  que  están  disponibles  para  la  recopilación  impactan  la  estrategia  en  línea . ||| Ella  se  acredita  a  veces  como  "" Christina  Tucci "" . ||| Un  popular  escritor  de  la  época  fue  Unno  Juza ,  a  veces  llamado  "" el  padre  de  la  ciencia  ficción  japonesa "" . ||| A  pesar  de  que  los  sistemas  de  salud  en  Polonia  son  gratuitos  para  las  personas  cubiertas  con  seguro  de  salud,​  a  veces  estos  son  lentos . ||| El  evento  de  Tunguska  se  explica  a  veces  de  esta  manera . ||| Este  desempeño  se  utiliza  a  veces  en  lugar  del  vídeo  principal . ||| De  hecho ,  a  veces  debe  elegir  deliberadamente  el  mal . ||| Hannah  también  a  veces  intenta  usar  su  doble  personalidad  como  excusa . ||| Ella  es  también  muy  adinerada  y  a  veces  puede  encontrarse  ayudando  a  Kotaro  con  Chinami . ||| El  presidente  Polk  a  veces  discutía  asuntos  de  política  con  ella ."
acababa  de ,25,"Después  de  un  tiempo ,  se  hizo  evidente  que  el  proceso  de  mejora  de  las  Fuerzas  Armadas  acababa  de  comenzar . ||| Río  de  Janeiro  acababa  de  gastar  millones  para  promocionar  la  ciudad  internacionalmente . ||| Siempre  solía  vestir  de  Warehouse ,  que  acababa  de  abrir  y  era  realmente  bueno ,  porque  Jeff  Banks  estaba  todavía  al  mando . ||| El  Altair  acababa  de  regresar  de  una  prueba  un  día  antes  de  que  comenzara  el  incendio  de  la  Esperanza  de  la  misión . ||| El  autobús  acababa  de  descargar  más  estudiantes . ||| Sin  embargo ,  de  todos  los  maestros  de  Beethoven ,  Haydn  disfrutaba  de  la  mayor  reputación ,  ya  que  acababa  de  regresar  de  su  primer  viaje  exitoso  a  Londres . ||| Su  padre  de  42  años  había  sido  atropellado  y  asesinado  por  alguien  que  acababa  de  detener  un  supermercado . ||| Pero  murió  optimista ,  creyendo  que  nuestro  viaje  evolutivo  acababa  de  comenzar . ||| Francia  estaba  interesada ,  ya  que  su  proyecto  AMX-50  acababa  de  ser  cancelado . ||| El  Cuerpo  VI  acababa  de  llegar  con  12000  hombres ."
de  vez  en  cuando,24,"Te  visitaré  de  vez  en  cuando . ||| Sin  embargo ,  Kant  piensa  que  todos  los  agentes  necesariamente  desean  la  ayuda  de  otros  de  vez  en  cuando . ||| A  pesar  de  estas  limitaciones ,  la  EAF  llevó  a  cabo  salidas  ofensivas  de  vez  en  cuando . ||| Su  nombre  aparece  en  la  cultura  popular  de  vez  en  cuando . ||| Incluso  el  cuerpo  humano  lleva  a  cabo  procesos  de  fermentación  de  vez  en  cuando . ||| También  menciona  letras  de  Black  Sabbath  de  vez  en  cuando . ||| Algunas  otras  nacionalidades  ( alemanas ,  francesas ,  rusas )  también  observaron  la  geología  y  los  recursos  en  el  país  de  vez  en  cuando ,  pero  nada  parecía  surgir  de  sus  exploraciones . ||| Herman ,  como  muchos  maridos  de  la  década  de  1960 ,  es  el  único  asalariado  en  la  familia ,  aunque  Lily  y  el  abuelo  hacen  intentos  ( de  corta  duración )  de  ganar  dinero  de  vez  en  cuando . ||| La  única  excepción  a  esto  es  el  fantasma  sacerdote ,  que  saldrá  de  vez  en  cuando . ||| Aunque  no  es  oficialmente  un  miembro  de  SOX ,  ella  les  ayuda  a  salir  de  problemas  de  vez  en  cuando ,  porque  ella  es  consciente  ( hasta  cierto  punto )  de  las  identidades  de  sus  miembros ."
a  veces,24,"Por  lo  general ,  está  con  Ren  y ,  a  veces ,  con  Donnie ,  pero  solo  ha  hablado  con  Louis  una  vez . ||| Admitamos  en  la  intimidad  de  nuestra  propia  sociedad  que  estas  cosas  ocurren  a  veces . ||| Está  también ,  a  veces ,  se  extendió  a  una  filosofía  más  amplia  "" gobierno  pequeño "" . ||| El  plan  parece  funcionar  y ,  a  veces ,  Ephram  no  recoge  el  dinero  en  absoluto . ||| Muchos  estadounidenses  han  mostrado  dudas  y ,  a  veces ,  abierta  oposición  al  presidente  Trump  durante  la  crisis . ||| Gaba  Beltza  ( Noche  negra ) ,  el  sábado  más  cercano  al  31  de  octubre  y ,  a  veces ,  este  mismo  día . ||| "" Sus  mujeres  e  hijos  fueron  violados  y ,  a  veces ,  llevados  a  la  fuerza  a  los  harenes . ||| El  género  se  ha  utilizado ,  a  veces ,  como  una  herramienta  para  la  discriminación  contra  las  mujeres  en  la  esfera  política . ||| Pero  tenemos  el  conocimiento  que  están  apenas  vestidos ,  y  a  veces ,  eso  es  suficiente . ||| Metro  TV  también  tienen  un  informercial  bloque ,  por  lo  general  Residencial  ,  pero  a  veces ,  cualquier  precio  de  los  productos  y  la  tecnología ."
rara  vez ,24,"Todos  los  siete  tonos  rara  vez  son  escuchados  en  una  sola  composición  tradicional . ||| Los  padres  tienen  el  derecho  de  retirar  a  sus  alumnos  de  estos  cursos  religiosos ,  pero  los  padres  musulmanes  rara  vez  lo  hacen . ||| Hasta  el  final  de  su  vida ,  Baker  rara  vez  estaba  sin  trabajo . ||| En  Tailandia ,  los  clanes  rara  vez  superan  los  3  individuos . ||| Lee  es  rara  vez  visto  en  público  y  evita  la  publicidad . ||| Esto  significaba  que  Rick  rara  vez  veía  a  su  padre ,  incluso  en  sus  cumpleaños ,  y  eventualmente  Rex  ni  siquiera  estaba  seguro  de  la  edad  de  su  hijo . ||| Las  computadoras  rara  vez  modifican  bits  individuales  por  razones  de  rendimiento . ||| Esto  es  especialmente  insólito  puesto  que  éstos  dos  rara  vez  tocan  juntos ,  excepto  durante  su  actuación  anual  en  "" Winter  Solstice  Performances "" ,  en  Chicago . ||| Gert  rara  vez  interactúa  con  Karolina . ||| A  las  niñas  rara  vez  se  les  permitía  asistir  a  la  escuela  secundaria ."
más  y  más ,23,"Desde  su  lanzamiento ,  el  sistema  ha  crecido  con  la  incorporación  de  más  y  más  fuentes  de  datos . ||| Con  el  tiempo ,  vamos  a  empezar  a  ver  más  y  más  de  este  chico . ||| La  creciente  escasez  de  estos  recursos  pone  más  y  más  presión  sobre  la  seguridad  alimentaria . ||| Con  el  paso  del  tiempo ,  reconoció  que  Israel  se  convertirá  en  "" más  y  más  occidental . "" ||| Las  acusaciones  crecieron  a  medida  que  más  y  más  asuntos  de  corrupción  estaban  vinculados  con  el  ex  primer  ministro  Ivo  Sanader . ||| Había  más  y  más  nombres  de  hombres  polacos  e  irlandeses ,  de  personas  con  las  que  habíamos  hecho  negocios ,  de  amigos  míos .  ... ||| En  sus  últimos  años ,  Berke  comenzó  a  delegar  más  y  más  responsabilidades  a  su  prometedor  sobrino . ||| Explica  cómo ,  bajo  el  capitalismo ,  más  y  más  personas  dependen  de  su  "" mano  de  obra ""  para  vivir . ||| Aunque  la  Legión  Árabe  en  teoría  estaba  en  Palestina  bajo  comando  británico ,  comenzaron  a  operar  más  y  más  independientemente . ||| No  obstante ,  de  acuerdo  con  los  principales  personajes ,  la  sociedad  alemana  de  principios  de  los  años  60  está  volviéndose  más  y  más  rebelde ."
de  nuevos ,22,"Por  ejemplo ,  Slavi  Pachovski ,  miembro  del  Instituto  para  el  Comercio ,  Normas  y  Desarrollo  Sostenible ,  argumenta :  Si  esta  tendencia  procede ,  será  una  pandemia  mundial  de  sida  que  crecerá  sin  control  debido  a  que  la  acción  brasileña  destruirá  todo  el  orden  jurídico  que  es  la  base  para  el  desarrollo  de  nuevos  fármacos  e  investigaciones  permanentes . ||| Hoy  en  día  una  gran  cantidad  de  nuevos  miembros  de  esta  sociedad  están  participando  en  estas  clases  con  el  fin  de  ayudar  a  otras  personas  y  Sharmin  ha  dedicado  su  vida  a  esto . ||| Su  objetivo  es  probar  la  seguridad  activa  y  pasiva  de  nuevos  automóviles  vendidos  en  América  Latina  y  el  Caribe . ||| Como  Ministra  de  Comercio  de  Francia  entre  2005  y  mayo  de  2007 ,  Lagarde  priorizó  la  apertura  de  nuevos  mercados  para  los  productos  del  país ,  centrándose  en  el  sector  de  la  tecnología . ||| Mientras  tanto ,  el  descubrimiento  de  nuevos  recursos  naturales  en  Polonia  condujo  a  la  Comunidad  Europea  ( EC )  a  detener  completamente  la  importación  de  materias  primas  de  Zaftra . ||| Bryan  afirmó  también  las  chicas  trabajan  con  los  productores  que  han  trabajado  en  el  pasado ,  así  como  la  exploración  de  nuevos  productores ,  tales  como  Timbaland . ||| Athena  no  era  un  proyecto  de  investigación ,  y  el  desarrollo  de  nuevos  modelos  de  computación  no  era  un  objetivo  primario  del  proyecto . ||| Dedicado  a  la  información  sobre  las  ventas  de  DVD  domésticos ,  esta  sección  tenía  una  lista  de  nuevos  lanzamientos  para  ese  mes . ||| Años  después ,  Nicieza  dijo  que  considera  los  primeros  25  números  de  nuevos  guerreros  para  ser  el  mejor  trabajo  de  su  carrera . ||| El  Gobierno  mexicano  se  opone  vehementemente  a  la  incorporación  de  nuevos  miembros  al  Consejo  de  Seguridad ."
de  peso ,22,"El  riesgo  es  mayor  cuando  la  madre  es  pequeña  o  cuando  el  infante  es  de  peso  grande . ||| Se  dice  muy  poco  sobre  él ,  aparte  de  que  todavía  está  vivo  y  es  un  campeón  de  peso  pesado . ||| De  los  finalistas ,  Pete  había  perdido  el  mayor  porcentaje  de  peso  y  recibió  el  premio  de  100.000  dólares . ||| A  finales  de  mayo  de  1994  Octagon  perdió  el  título  nacional  mexicano  de  peso  medio ,  pero  no  de  la  manera  tradicional . ||| Se  desconoce  si  ganó  el  evento  en  su  categoría  de  peso  de  160  libras . ||| Otros  luchadores  notables  en  clases  de  peso  aún  más  bajo  están  experimentando  una  popularidad  sin  precedentes  en  la  actualidad . ||| Las  unidades  de  peso  incluyeron  el  pond ,  ons  y  last . ||| Phoenix  perdió  una  cantidad  considerable  de  peso  en  la  preparación . ||| Shelton  los  entrenó  utilizando  diversos  ejercicios  de  peso  y  resistencia . ||| Miller ,  que  ya  estaba  en  peso ,  tuvo  que  rehidratarse  para  mantener  su  diferencia  de  peso  dentro  de  las  7  libras ."
en  marcha,21,"Para  mí ,  y  para  todo  Marvel  Studios ,  eso  es  lo  que  lo  mantiene  en  marcha . ||| Un  cuarto  intento  de  un  alto  el  fuego  negociado ,  para  evacuar  a  los  civiles  atrapados ,  estaba  en  marcha . ||| En  1883 ,  una  campaña  de  restauración  se  puso  en  marcha ,  pero  no  fue  llevada  a  su  conclusión  hasta  después  de  la  Primera  Guerra  Mundial . ||| El  26  de  octubre  de  2002 ,  un  servicio  especial  para  Austria ,  Premiere  Austria  ,  se  puso  en  marcha . ||| Cacao  El  10  de  octubre  de  2007 ,  el  Programa  de  Cacao  se  puso  en  marcha . ||| Muchos  de  ellos  son  empleados  o  directamente  se  dedican  a  nuevas  actividades  de  puesta  en  marcha . ||| El  desarrollo  de  la  especificación  formal  de  las  cookies  ya  estaba  en  marcha . ||| En  este  año  la  JUF ,  que  llevaba  8  años  en  marcha ,  tuvo  una  gran  actividad . ||| Un  plan  detallado  para  un  golpe  de  Estado  había  sido  elaborado  y  estaba  listo  para  ponerse  en  marcha ;  pero ,  contrario  a  las  expectativas ,  Hitler  se  apresuró  por  el  museo  en  menos  de  diez  minutos . ||| En  el  área  de  Wadi  Miamr  la  batalla  todavía  estaba  en  marcha ."
Tenga  en  cuenta ,21,"Tenga  en  cuenta  que  estas  son  todas  las  características  de  Moscú . ||| Tenga  en  cuenta  que  si  alguno  de  estos  valores  es  0 ,  entonces  ya  se  ha  encontrado  una  raíz  ( y  por  consiguiente  un  factor ) . ||| Tenga  en  cuenta  que  para  cualquiera  que  es  asesinado  el  dinero  sangriento  es  de  cien  camellos . ||| Tenga  en  cuenta  que  la  varianza  de  la  serie  es  divergente  al  infinito  con  t. ||| Tenga  en  cuenta  que  como  problemas  a  nivel  de  protocolo ,  la  mayoría  o  todas  las  implementaciones  correctas  del  estándar  serán  afectadas . ||| Tenga  en  cuenta  que  L  no  es  necesariamente  un  miembro  de  la  clase  de  lenguaje . ||| Tenga  en  cuenta  que  ( 4 )  sólo  se  aplica  cuando  x  (  T  )  { \displaystyle  x(T ) }  está  libre . ||| Tenga  en  cuenta  que  cada  cliente  procesa  los  datos  de  forma  independiente  en  su  máquina  en  un  proceso  que  se  denomina  estabilización  del  portal . ||| Tomáš  Baťa  stated:​  Tenga  en  cuenta  que  las  posibilidades  de  multiplicar  la  riqueza  son  ilimitadas . ||| Ahora  la  evaluación  con  reducción  de  grafo  más  externa  puede  proceder  de  la  siguiente  manera :  Tenga  en  cuenta  que  la  evaluación  ahora  solo  requiere  cuatro  pasos ."
de  vez  en  cuando ,21,"Se  reúne  en  Londres  y  de  vez  en  cuando  en  otros  lugares  en  todo  el  Reino  Unido . ||| Se  comprueba  de  vez  en  cuando  cuantas  partículas  están  en  la  caja  de  control . ||| Ninguna  potencia  europea  ejerció  soberanía ,  aunque  reclamaciones  de  vez  en  cuando  fueron  presentadas  por  Portugal . ||| Pero  ser  invariablemente  primeras  generaciones  de  migrantes ,  muchos  de  ellos  de  vez  en  cuando  visitan  la  India . ||| George  ha  demostrado  ser  fascinado  con  las  diversas  culturas  y  de  vez  en  cuando  es  supersticioso . ||| Si  el  hombre  hubiera  obedecido  al  sol ,  habría  podido  cambiar  su  piel  de  vez  en  cuando  como  la  serpiente ,  y  así  habría  adquirido  la  inmortalidad . ||| También  de  vez  en  cuando  cocina  deliciosas  comidas  y  toma  uno  de  los  monos  de  la  isla  como  su  guardaespaldas . ||| En  algunos  de  sus  cuentos ,  nos  dijo  que  había  nacido  para  actuar  los  padres  en  Peoria ,  Illinois ,  pero  se  mudó  de  vez  en  cuando  ( de  la  Florida  ,  Nueva  York ,  Europa ) . ||| Cada  arquitecto  georgiano  era  llamado  de  vez  en  cuando  para  producir  diseños  en  el  estilo  medieval ,  y  Wyatt  no  fue  ni  mucho  menos  el  primero  en  ese  campo . ||| Ray  de  vez  en  cuando  toca  jazz  latino ,  como  parte  de  la  experimentación  musical  de  la  Orquesta  Experimental  de  colectivos ."
la  marina ,20,"El  poder  naval  en  los  reinos  hispánicos :  la  marina  de  la  Edad  Media . ||| Desde  2001  hasta  la  primavera  de  2004  estaba  de  vuelta  en  el  Ministerio  de  Defensa ,  como  Director  de  Recursos  y  Programas  de  la  marina  de  guerra . ||| ( A  las  mujeres  se  les  permitía  permanecer  en  los  buques  de  la  marina  sólo  dentro  de  los  límites  del  archipiélago  de  Estocolmo ;  antes  de  llegar  al  mar  abierto ,  debían  desembarcar ) . ||| Miguel  VIII  revirtió  la  situación  y  comenzó  a  aumentar  el  tamaño  de  la  marina  aproximadamente  de  80  barcos . ||| Después  de  la  Segunda  Guerra  Mundial ,  hizo  su  fortuna  vendiendo  gasolina  que  había  robado  a  la  marina  italiana . ||| Era  por  ello  el  interés  de  la  marina  sueca  por  salvar  la  mayor  cantidad  de  cañones  como  fuera  posible . ||| Antes  de  la  guerra  con  Rusia ,  la  marina  georgiana  tenía  19  buques  navales . ||| Su  hijo  se  unió  a  la  armada  a  la  edad  de  14  años  ( su  primer  kit  de  la  marina  está  en  exhibición  en  el  National  Maritime  Museum  Greenwich ) . ||| Los  padres  de  Bloch  querían  que  su  hijo  tuviera  una  profesión  respetable  — un  oficial  de  la  marina  de  guerra — . ||| Se  espera  que  los  trabajos  justifiquen  una  redefinición  de  sus  límites  que  podrían  representar  aproximadamente  el  doble  del  zona  económica  exclusiva  de  la  marina  de  Uruguay  hasta  alrededor  de  200.000  km² ."
de  una  vez,20,"Si  sus  sentimientos  son  aún  los  mismos  que  en  el  pasado  abril ,  dígamelo  de  una  vez . ||| Esto  no  sería  una  solución  "" de  una  vez "" ,  sino  una  política  continua  que  también  generaría  ingresos  para  los  gobiernos . ||| Fue  uno  de  los  mayores  mosasaurios ,  aunque  su  tamaño  ha  sido  revisado  más  de  una  vez . ||| Son  la  primera  banda  que  gana  el  J  Award  más  de  una  vez . ||| Muchas  de  las  características  más  distintivas  de  los  sistemas  vivientes  han  evolucionado  más  de  una  vez . ||| Era  muy  conocido  en  los  Estados  Unidos  que  había  visitado  más  de  una  vez . ||| Schubert  visitaría  a  Beethoven  en  su  lecho  de  muerte  más  de  una  vez . ||| Si  una  señal  se  presenta  más  de  una  vez ,  es  más  probable  que  se  entienda  correctamente . ||| En  ganador  el  premio ,  devenga  sólo  el  segundo  futbolista  para  ganar  él  más  de  una  vez ;  el  otro  era  I.  M.  Vijayan . ||| El  Gran  Duque  Leopoldo  retornó  el  10  de  agosto  y  disolvió  la  dieta  de  una  vez ."
entró  en  vigor ,20,"El  "" Acuerdo  entre  la  Comunidad  Económica  Europea  y  el  Principado  de  Andorra ""  ( firmado  el  28  de  junio  de  1990 ,  entró  en  vigor  el  1  de  julio  de  1991 )  establece  una  unión  aduanera  con  nación  más  favorecida  entre  el  Principado  y  la  UE  . ||| El  acuerdo ,  conocido  como  « La  escritura  de  la  Rendición »  ( The  Deed  of  Surrender ) ,  entró  en  vigor  el  año  siguiente . ||| Se  trata  de  un  depósito  de  todas  las  publicaciones  sudanesas  desde  un  depósito  legal  ley  que  entró  en  vigor  en  1966 . ||| El  acuerdo  entró  en  vigor  un  mes  después  de  su  ratificación  por  los  tres  parlamentos . ||| La  Convención  sobre  la  Protección  del  Medio  Marino  de  la  Zona  del  mar  Báltico  de  1992 ,  entró  en  vigor  el  17  de  enero  de  2000 . ||| En  noviembre  de  2005 ,  firmaron  un  Tratado  Bilateral  de  Inversión  ( BIT ) ,  que  entró  en  vigor  el  1  de  noviembre  ,  2006 . ||| Ambos  gabinetes  fueron  al  fin ,  formalmente  abolidos  cuando  la  nueva  Constitución  del  Estado  Libre  Irlandés  entró  en  vigor  en  diciembre . ||| Este  último ,  ocupó  finalmente  la  sexta  plaza  asignada  a  Malta  en  el  Parlamento  Europeo  desde  que  el  Tratado  de  Lisboa  entró  en  vigor  en  2011 . ||| El  "" Acuerdo  de  asociación  económica ,  de  coordinación  política  y  de  cooperación  UE-México ""  entró  en  vigor  en  2000  y  estableció  una  zona  de  libre  comercio  entre  los  dos  partidos  ( véase  la  sección  de  comercio  más  adelante ) . ||| La  ley  solamente  entró  en  vigor  al  cabo  de  dos  años  -  después  de  que  La  Torre  hubiera  sido  abatido  a  tiros  por  hacer  esa  sugerencia ."
